FlightID,Airline,Origin,Destination,RouteDistance,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,Cancelled,FuelUsedGallons,FlightDurationMinutes,Passengers,Date,TotalDelayMinutes,DelayCategory,DelayCostIndex,DelayCost,RouteEfficiencyScore,OnTimePerformancePct,FuelCostPerRoute,FuelPriceVolatility,AirportCode_x,AvgTrafficVolume,PeakTrafficLoad,CongestionSeverityIndex,AirportCode_y,AvgSentimentScore,SentimentScore,SentimentCategory,CustomerSatisfactionIntensity
FL0011,BlueJet,JFK,LAX,2475,2026-05-23 08:00:00,2026-05-23 08:20:00,2026-05-23 12:51:00,2026-05-23 13:16:00,20.0,False,12188.9,296.0,154,2026-05-23,20.0,Moderate,20.0,2000.0,99.1919191919192,0.0,34432.82990666667,0.0,JFK,942.0,942,71.66853303471444,JFK,0.1531,0.1531,Positive,15.3
FL0012,CloudFlight,JFK,LAX,2475,2026-05-23 11:00:00,2026-05-23 11:09:00,2026-05-23 15:51:00,2026-05-23 16:20:00,9.0,False,11920.8,311.0,81,2026-05-23,9.0,Minor,9.0,900.0,99.65384615384616,100.0,33675.465280000004,0.09280430396772027,JFK,942.0,942,71.66853303471444,JFK,0.1531,0.1531,Positive,15.3
FL0022,EliteWings,JFK,ORD,740,2026-05-23 11:00:00,2026-05-23 11:38:00,2026-05-23 12:27:00,2026-05-23 12:52:00,38.0,False,3911.7,74.0,100,2026-05-23,38.0,Moderate,38.0,3800.0,93.92,0.0,11050.291720000001,0.15708241237477066,JFK,942.0,942,71.66853303471444,JFK,0.1531,0.1531,Positive,15.3
FL0023,DeltaSky,JFK,ORD,740,2026-05-23 14:00:00,2026-05-23 14:07:00,2026-05-23 15:27:00,2026-05-23 15:36:00,7.0,False,4109.8,89.0,93,2026-05-23,7.0,Minor,7.0,700.0,99.06666666666666,100.0,11609.911013333336,0.14443991644949303,JFK,942.0,942,71.66853303471444,JFK,0.1531,0.1531,Positive,15.3
FL0031,DeltaSky,ATL,DFW,732,2026-05-23 08:00:00,2026-05-23 08:01:00,2026-05-23 09:26:00,2026-05-23 09:31:00,1.0,False,3771.4,90.0,87,2026-05-23,1.0,Minor,1.0,100.0,99.86813186813187,100.0,10653.953573333336,0.15921587749183783,ATL,954.0,954,73.01231802911535,ATL,-0.6249,-0.6249,Negative,62.5
FL0033,EliteWings,ATL,DFW,732,2026-05-23 14:00:00,2026-05-23 14:03:00,2026-05-23 15:26:00,2026-05-23 15:17:00,3.0,False,4081.4,74.0,123,2026-05-23,3.0,Minor,3.0,300.0,99.52,100.0,11529.682906666669,0.19139453878103987,ATL,954.0,954,73.01231802911535,ATL,-0.6249,-0.6249,Negative,62.5
FL0041,DeltaSky,LAX,ORD,1744,2026-05-23 08:00:00,2026-05-23 08:39:00,2026-05-23 11:25:00,2026-05-23 12:24:00,39.0,False,8434.3,225.0,119,2026-05-23,39.0,Moderate,39.0,3900.0,97.929203539823,0.0,23826.335213333336,0.18488881100729485,LAX,506.0,506,22.84434490481523,,,0.0,Neutral,0.0
FL0042,BlueJet,LAX,ORD,1744,2026-05-23 11:00:00,2026-05-23 11:20:00,2026-05-23 14:25:00,2026-05-23 14:53:00,20.0,False,9717.9,213.0,203,2026-05-23,20.0,Moderate,20.0,2000.0,98.8785046728972,0.0,27452.419640000004,0.23115757903818443,LAX,506.0,506,22.84434490481523,,,0.0,Neutral,0.0
FL0043,EliteWings,LAX,ORD,1744,2026-05-23 14:00:00,2026-05-23 14:23:00,2026-05-23 17:25:00,2026-05-23 18:01:00,23.0,False,8475.2,218.0,150,2026-05-23,23.0,Moderate,23.0,2300.0,98.73972602739725,0.0,23941.874986666673,0.18989455022150756,LAX,506.0,506,22.84434490481523,,,0.0,Neutral,0.0
FL0051,CloudFlight,ORD,ATL,606,2026-05-23 08:00:00,2026-05-23 07:50:00,2026-05-23 09:11:00,2026-05-23 08:56:00,0.0,False,3251.5,66.0,112,2026-05-23,0.0,On-Time,0.0,0.0,100.0,100.0,9185.270733333335,0.20917045248359115,ORD,540.0,540,26.651735722284435,,,0.0,Neutral,0.0
